iter	Passed	Remaining
482	624	668
483	625	666
484	625	664
485	626	662
486	627	661
487	628	659
488	629	657
489	630	655
490	631	654
491	631	652
492	632	650
493	635	650
494	636	649
495	637	647
496	637	645
497	638	643
498	639	642
499	640	640
500	641	638
501	641	636
502	642	634
503	643	633
504	644	631
505	645	629
506	645	628
507	646	626
508	647	624
509	649	624
510	650	622
511	651	621
512	652	619
513	653	617
514	654	616
515	655	614
516	656	613
517	657	611
518	658	609
519	658	608
520	659	606
521	660	604
522	660	602
523	661	601
524	662	599
525	663	598
526	664	596
527	665	595
528	666	593
529	667	592
530	668	590
531	669	589
532	670	587
533	671	586
534	672	584
535	673	582
536	674	581
537	674	579
538	675	577
539	676	576
540	677	574
541	680	574
542	681	573
543	682	571
544	683	570
545	683	568
546	684	566
547	685	565
548	686	563
549	687	562
550	687	560
551	688	559
552	689	557
553	690	555
554	691	554
555	691	552
556	692	551
557	694	550
558	695	548
559	696	547
560	697	545
561	698	544
562	698	542
563	699	540
564	700	539
565	701	537
566	701	535
567	702	534
568	703	532
569	704	531
570	704	529
571	705	528
572	706	526
573	707	524
574	708	523
575	709	522
576	710	521
577	711	519
578	712	517
579	713	516
580	713	514
581	714	513
582	715	511
583	716	510
584	716	508
585	717	506
586	718	505
587	719	503
588	719	502
589	720	500
590	721	499
591	722	497
592	723	496
593	723	494
594	725	493
595	725	492
596	726	490
597	727	489
598	728	487
599	728	485
600	729	484
601	730	483
602	731	481
603	732	480
604	733	478
605	733	477
606	734	475
607	735	474
608	736	472
609	737	471
610	737	469
611	738	468
612	739	466
613	740	465
614	741	464
615	742	462
616	743	461
617	744	460
618	745	458
619	745	457
620	746	455
621	747	454
622	748	452
623	748	451
624	749	449
625	750	448
626	752	447
627	753	446
628	754	444
629	755	443
630	756	442
631	757	441
632	758	439
633	759	438
634	759	436
635	760	435
636	761	433
637	762	432
638	763	431
639	763	429
640	764	428
641	765	426
642	766	425
643	766	423
644	767	422
645	768	421
646	769	419
647	769	418
648	771	417
649	772	416
650	773	414
651	774	413
652	775	412
653	776	410
654	777	409
655	777	407
656	778	406
657	779	405
658	780	403
659	780	402
660	781	400
661	782	399
662	783	398
663	783	396
664	784	395
665	785	394
666	787	392
667	787	391
668	788	390
669	789	388
670	790	387
671	790	386
672	791	384
673	792	383
674	793	382
675	794	380
676	794	379
677	795	377
678	796	376
679	797	375
680	797	373
681	798	372
682	799	371
683	800	369
684	802	368
685	803	367
686	804	366
687	805	365
688	806	363
689	807	362
690	807	361
691	808	359
692	809	358
693	810	357
694	811	355
695	811	354
696	812	353
697	813	351
698	814	350
699	814	349
700	815	347
701	817	346
702	818	345
703	818	344
704	819	342
705	820	341
706	821	340
707	822	339
708	823	337
709	824	336
710	825	335
711	825	334
712	826	332
713	827	331
714	828	330
715	829	328
716	829	327
717	831	326
718	832	325
719	833	324
720	834	322
721	835	321
722	836	320
723	836	319
724	837	317
725	838	316
726	839	315
727	840	313
728	841	312
729	841	311
730	842	310
731	843	308
732	844	307
733	845	306
734	846	305
735	847	304
736	848	302
737	849	301
738	850	300
739	850	298
740	851	297
741	852	296
742	853	295
743	854	293
744	854	292
745	855	291
746	856	290
747	857	288
748	858	287
749	859	286
750	859	285
751	860	283
752	862	283
753	863	281
754	864	280
755	865	279
756	866	278
757	867	276
758	867	275
759	868	274
760	869	273
761	870	271
762	871	270
763	871	269
764	872	268
765	873	266
766	874	265
767	875	264
768	876	263
769	877	262
770	879	261
771	880	259
772	880	258
773	881	257
774	882	256
775	883	254
776	884	253
777	885	252
778	886	251
779	887	250
780	887	249
781	888	247
782	889	246
783	890	245
784	891	244
785	892	243
786	894	242
787	895	240
788	896	239
789	897	238
790	898	237
791	898	236
792	899	234
793	900	233
794	901	232
795	902	231
796	903	230
797	904	228
798	904	227
799	905	226
800	907	225
801	908	224
802	909	223
803	910	221
804	911	220
805	912	219
806	912	218
807	913	217
808	916	216
809	917	215
810	920	214
811	921	213
812	923	212
813	924	211
814	925	210
815	926	208
816	928	208
817	930	206
818	931	205
819	932	204
820	933	203
821	934	202
822	936	201
823	936	200
824	938	199
825	940	198
826	942	197
827	943	195
828	944	194
829	945	193
830	946	192
831	947	191
832	948	190
833	949	189
834	950	187
835	951	186
836	952	185
837	954	184
838	956	183
839	957	182
840	958	181
841	958	179
842	959	178
843	960	177
844	961	176
845	962	175
846	963	174
847	964	172
848	965	171
849	966	170
850	967	169
851	969	168
852	971	167
853	972	166
854	973	165
855	974	163
856	975	162
857	975	161
858	977	160
859	978	159
860	979	158
861	980	156
862	981	155
863	982	154
864	982	153
865	986	152
866	987	151
867	988	150
868	989	149
869	990	147
870	991	146
871	992	145
872	994	144
873	996	143
874	997	142
875	998	141
876	999	140
877	1001	139
878	1002	138
879	1004	136
880	1005	135
881	1007	134
882	1007	133
883	1008	132
884	1009	131
885	1011	130
886	1012	128
887	1012	127
888	1014	126
889	1016	125
890	1017	124
891	1018	123
892	1019	122
893	1020	120
894	1021	119
895	1022	118
896	1024	117
897	1025	116
898	1026	115
899	1027	114
900	1028	113
901	1030	111
902	1031	110
903	1032	109
904	1033	108
905	1034	107
906	1035	106
907	1037	105
908	1038	103
909	1039	102
910	1040	101
911	1041	100
912	1043	99
913	1044	98
914	1045	97
915	1047	96
916	1048	94
917	1050	93
918	1051	92
919	1051	91
920	1052	90
921	1053	89
922	1055	88
923	1056	86
924	1057	85
925	1058	84
926	1059	83
927	1060	82
928	1061	81
929	1062	80
930	1064	78
931	1065	77
932	1066	76
933	1068	75
934	1069	74
935	1070	73
936	1072	72
937	1076	71
938	1077	70
939	1079	68
940	1080	67
941	1082	66
942	1083	65
943	1084	64
944	1086	63
945	1087	62
946	1091	61
947	1095	60
948	1096	58
949	1098	57
950	1099	56
951	1106	55
952	1108	54
953	1109	53
954	1110	52
955	1112	51
956	1113	50
957	1115	48
958	1116	47
959	1118	46
960	1119	45
961	1121	44
962	1123	43
963	1124	41
964	1125	40
965	1127	39
966	1128	38
967	1129	37
968	1131	36
969	1132	35
970	1134	33
971	1135	32
972	1137	31
973	1138	30
974	1140	29
975	1141	28
976	1144	26
977	1145	25
978	1147	24
979	1148	23
980	1149	22
981	1153	21
982	1154	19
983	1155	18
984	1156	17
985	1157	16
986	1158	15
987	1159	14
988	1160	12
989	1161	11
990	1162	10
991	1163	9
992	1163	8
993	1164	7
994	1165	5
995	1167	4
996	1168	3
997	1168	2
998	1170	1
999	1171	0
